BHK,Total Area,Price,bedroom
2 BHK Apartment in Sector 21 Kamothe,"1,110 sq.ft.
(103 sq.m.) Built-up Area","₹ 79 L
₹ 7,117/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 20 Kamothe,"1,050 sq.ft.
(98 sq.m.) Built-up Area","₹ 65 L
₹ 6,190/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"690 sq.ft.
(64 sq.m.) Super built-up Area","₹ 67 L
₹ 9,710/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in dhruv heights,"1,850 sq.ft.
(172 sq.m.) Super built-up Area","₹ 2.1 Cr
₹ 11,351/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Koperkhairane,"413-496 sq.ft.
(38-46 sq.m.) Carpet Area","₹ 1.25 - 1.5 Cr
₹ 30,272/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 22 Kamothe,"1,100 sq.ft.
(102 sq.m.) Built-up Area","₹ 82 L
₹ 7,454/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 53 L
₹ 7,571/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"435 sq.ft.
(40 sq.m.) Carpet Area","₹ 98 L
₹ 22,528/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"429 sq.ft.
(40 sq.m.) Carpet Area","₹ 1.35 Cr
₹ 31,404/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-11 Khanda Colony,"374-476 sq.ft.
(35-44 sq.m.) Carpet Area","₹ 53.11 - 67.6 L
₹ 14,201/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-11 Khanda Colony,"374-476 sq.ft.
(35-44 sq.m.) Carpet Area","₹ 51 - 64.91 L
₹ 13,636/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ghansoli,"1,035-1,200 sq.ft.
(96-111 sq.m.) Super built-up Area","₹ 1.25 - 1.45 Cr
₹ 12,078/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 22 Kamothe,"675 sq.ft.
(63 sq.m.) Super built-up Area","₹ 48 L
₹ 7,111/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector-8 Sanpada,"1,245 sq.ft.
(116 sq.m.) Built-up Area","₹ 1.18 Cr
₹ 9,477/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"670 sq.ft.
(62 sq.m.) Super built-up Area","₹ 62 L
₹ 9,253/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Ulwe,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 95 L
₹ 8,260/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"1,427 sq.ft.
(133 sq.m.) Super built-up Area","₹ 1.82 Cr
₹ 12,754/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"1,650 sq.ft.
(153 sq.m.) Super built-up Area","₹ 2.03 Cr
₹ 12,303/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector-35E Kharghar,"1,710 sq.ft.
(159 sq.m.) Super built-up Area","₹ 1.75 Cr
₹ 10,233/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-8 Sanpada,"1,245 sq.ft.
(116 sq.m.) Super built-up Area","₹ 1.25 Cr
₹ 10,040/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 18 Kamothe,"1,027 sq.ft.
(95 sq.m.) Super built-up Area","₹ 87 L
₹ 8,471/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 19 Kamothe,"1,125 sq.ft.
(105 sq.m.) Super built-up Area","₹ 89.9 L
₹ 7,991/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 18 Kamothe,"560 sq.ft.
(52 sq.m.) Carpet Area","₹ 90 L
₹ 16,071/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector-25 Khandeshhwar,"299 sq.ft.
(28 sq.m.) Carpet Area","₹ 64.5 L
₹ 21,554/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Sector 36 Kamothe,"820 sq.ft.
(76 sq.m.) Super built-up Area","₹ 79 L
₹ 9,634/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 36 Kamothe,"625 sq.ft.
(58 sq.m.) Super built-up Area","₹ 57 L
₹ 9,120/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Seawoods,"780 sq.ft.
(72 sq.m.) Super built-up Area","₹ 1 Cr
₹ 12,820/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-18 Ulwe,"1,536 sq.ft.
(143 sq.m.) Super built-up Area","₹ 1.14 Cr
₹ 7,421/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 17 Ulwe,"1,410 sq.ft.
(131 sq.m.) Super built-up Area","₹ 1.26 Cr
₹ 8,936/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Sector 18 Kamothe,"787 sq.ft.
(73 sq.m.) Carpet Area","₹ 1.25 Cr
₹ 15,883/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-8A Airoli,"1,000 sq.ft.
(93 sq.m.) Built-up Area","₹ 1.3 Cr
₹ 13,000/sq.ft.","2 BHK
3 Baths"
1 BHK Apartment in Sector 22 Kamothe,"420 sq.ft.
(39 sq.m.) Carpet Area","₹ 59.5 L
₹ 14,166/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in PLOT,"710 sq.ft.
(66 sq.m.) Built-up Area","₹ 55 L
₹ 7,746/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in New Panvel,"622-685 sq.ft.
(58-64 sq.m.) Built-up Area","₹ 44.78 - 47.95 L
₹ 7,066/sq.ft.",1 BHK
2 BHK Apartment in Sector 10 Kharghar,"1,188 sq.ft.
(110 sq.m.) Super built-up Area","₹ 1.24 Cr
₹ 10,437/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector-27 Kharghar,"1,150 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.27 Cr
₹ 11,043/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"764 sq.ft.
(71 sq.m.) Carpet Area","₹ 1.51 Cr
₹ 19,765/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"424 sq.ft.
(39 sq.m.) Carpet Area",₹ 45 L,1 BHK
2 BHK Apartment in Kharghar,"467-675 sq.ft.
(43-63 sq.m.) Carpet Area","₹ 79.4 L - 1.15 Cr
₹ 17,002/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"550-641 sq.ft.
(51-60 sq.m.) Carpet Area",₹ 77.32 - 89.95 L,2 BHK
3 BHK Apartment in Sector 7 Kharghar,"1,575 sq.ft.
(146 sq.m.) Super built-up Area","₹ 2.1 Cr
₹ 13,333/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Taloja,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 53 L
₹ 5,047/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Sector 21 Kamothe,"1,080 sq.ft.
(100 sq.m.) Super built-up Area","₹ 69.5 L
₹ 6,435/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ghansoli,"438 sq.ft.
(41 sq.m.) Carpet Area","₹ 86 L
₹ 19,634/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-50 Seawoods,"1,860 sq.ft.
(173 sq.m.) Super built-up Area","₹ 3.3 Cr
₹ 17,741/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Ghansoli,"1,650 sq.ft.
(153 sq.m.) Super built-up Area","₹ 2.12 Cr
₹ 12,848/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ghansoli,"1,201 sq.ft.
(112 sq.m.) Super built-up Area","₹ 1.5 Cr
₹ 12,489/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Ghansoli,"610 sq.ft.
(57 sq.m.) Carpet Area","₹ 1.45 Cr
₹ 23,770/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"720 sq.ft.
(67 sq.m.) Built-up Area","₹ 55 L
₹ 7,638/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Panvel,"575-765 sq.ft.
(53-71 sq.m.) Carpet Area","₹ 98.15 L - 1.31 Cr
₹ 17,069/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Kharghar,"550-641 sq.ft.
(51-60 sq.m.) Carpet Area",₹ 80 - 94 L,2 BHK
1 BHK Apartment in Kharghar,"408-435 sq.ft.
(38-40 sq.m.) Carpet Area",₹ 50.32 - 53.71 L,1 BHK
2 BHK Apartment in Sector 18 Kamothe,"1,050 sq.ft.
(98 sq.m.) Super built-up Area","₹ 83 L
₹ 7,904/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"855 sq.ft.
(79 sq.m.) Carpet Area","₹ 2.3 Cr
₹ 26,900/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kharghar,"1,080-1,265 sq.ft.
(100-118 sq.m.) Super built-up Area","₹ 78 - 91.36 L
₹ 7,222/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Ghansoli,"1,810 sq.ft.
(168 sq.m.) Super built-up Area","₹ 2.2 Cr
₹ 12,154/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Kamothe,"610 sq.ft.
(57 sq.m.) Carpet Area","₹ 79 L
₹ 12,950/sq.ft.",2 BHK
1 BHK Apartment in Khandeshwar,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 57.1 L
₹ 8,784/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Ulwe,"345 sq.ft.
(32 sq.m.) Carpet Area",₹ 37 L,"1 BHK
1 Bath"
1 BHK Apartment in Ulwe,"360 sq.ft.
(33 sq.m.) Carpet Area",₹ 36.5 L,1 BHK
2 BHK Apartment in Kamothe,"990 sq.ft.
(92 sq.m.) Built-up Area","₹ 79 L
₹ 7,979/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 18 Kamothe,"760 sq.ft.
(71 sq.m.) Built-up Area","₹ 60 L
₹ 7,894/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector 7 Kharghar,"1,340 sq.ft.
(124 sq.m.) Super built-up Area","₹ 1.52 Cr
₹ 11,343/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Sector 20 Ulwe,"725 sq.ft.
(67 sq.m.) Built-up Area","₹ 55 L
₹ 7,586/sq.ft.","1 BHK
2 Baths"
2 BHK Apartment in Sector-9 Ulwe,"1,150 sq.ft.
(107 sq.m.) Built-up Area","₹ 97 L
₹ 8,434/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Vashi,"990 sq.ft.
(92 sq.m.) Carpet Area",₹ 3.49 - 3.49 Cr,"3 BHK
3 Baths"
2 BHK Apartment in Vashi,"750 sq.ft.
(70 sq.m.) Carpet Area",₹ 2.48 - 2.48 Cr,2 BHK
3 BHK Apartment in Ulwe,"1,760 sq.ft.
(164 sq.m.) Super built-up Area","₹ 1.46 Cr
₹ 8,285/sq.ft.",3 BHK
2 BHK Apartment in Ulwe,"1,271 sq.ft.
(118 sq.m.) Super built-up Area","₹ 99.45 L
₹ 7,824/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Sector-11 Khanda Colony,"619 sq.ft.
(58 sq.m.) Carpet Area","₹ 95.08 L
₹ 15,356/sq.ft.",3 BHK
2 BHK Apartment in Sector-11 Khanda Colony,"512 sq.ft.
(48 sq.m.) Carpet Area","₹ 75.01 L
₹ 14,627/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Khanda Colony,"718 sq.ft.
(67 sq.m.) Carpet Area","₹ 1.1 Cr
₹ 15,262/sq.ft.",3 BHK
2 BHK Apartment in Khanda Colony,"538 sq.ft.
(50 sq.m.) Carpet Area","₹ 74.2 - 74.2 L
₹ 13,791/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Taloja,"290-305 sq.ft.
(27-28 sq.m.) Carpet Area",Price on Request,"1 BHK
1 Bath"
1 BHK Apartment in Shilphata,"380 sq.ft.
(35 sq.m.) Carpet Area",Price on Request,1 BHK
2 BHK Apartment in Kamothe,"945-1,200 sq.ft.
(88-111 sq.m.) Built-up Area","₹ 80 L - 1.02 Cr
₹ 8,466/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Kamothe,"645-650 sq.ft.
(60-60 sq.m.) Built-up Area","₹ 63 - 63.49 L
₹ 9,767/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"575 sq.ft.
(53 sq.m.) Carpet Area","₹ 98.25 L
₹ 17,070/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"505 sq.ft.
(47 sq.m.) Carpet Area",₹ 69 L,2 BHK
1 BHK Apartment in Panvel,"450 sq.ft.
(42 sq.m.) Carpet Area",₹ 45 L,1 BHK
2 BHK Apartment in Panvel,"575 sq.ft.
(53 sq.m.) Carpet Area","₹ 98 L
₹ 17,027/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"575 sq.ft.
(53 sq.m.) Carpet Area","₹ 74 L
₹ 12,857/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"495 sq.ft.
(46 sq.m.) Carpet Area",₹ 69 L,2 BHK
1 BHK Apartment in Panvel,"450 sq.ft.
(42 sq.m.) Carpet Area",₹ 45 L,1 BHK
2 BHK Apartment in Taloja,"396 sq.ft.
(37 sq.m.) Carpet Area","₹ 41.52 L
₹ 10,459/sq.ft.","2 BHK
2 Baths"
3 BHK Apartment in Seawoods,"679-686 sq.ft.
(63-64 sq.m.) Carpet Area","₹ 2.86 - 2.89 Cr
₹ 42,110/sq.ft.","3 BHK
3 Baths"
3 BHK Apartment in Ulwe,"1,040-1,810 sq.ft.
(97-168 sq.m.) Super built-up Area","₹ 1.6 - 2.78 Cr
₹ 15,384/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Ulwe,"770-1,310 sq.ft.
(72-122 sq.m.) Super built-up Area","₹ 1.1 - 1.87 Cr
₹ 14,285/sq.ft.","2 BHK
2 Baths"
2 BHK Apartment in Panvel,"702-752 sq.ft.
(65-70 sq.m.) Carpet Area","₹ 99 L - 1.06 Cr
₹ 14,098/sq.ft.",2 BHK
1 BHK Apartment in Panvel,"464 sq.ft.
(43 sq.m.) Carpet Area","₹ 67 L
₹ 14,439/sq.ft.",1 BHK
1 BHK Apartment in Khanda Colony,"443-527 sq.ft.
(41-49 sq.m.) Carpet Area","₹ 54 - 65.88 L
₹ 12,396/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"616-687 sq.ft.
(57-64 sq.m.) Carpet Area",₹ 84 - 93.68 L,2 BHK
2 BHK Apartment in Panvel,"765 sq.ft.
(71 sq.m.) Carpet Area","₹ 1.3 Cr
₹ 17,055/sq.ft.",2 BHK
2 BHK Apartment in Vashi,"620-644 sq.ft.
(58-60 sq.m.) Carpet Area",₹ 1.79 - 2.36 Cr,"2 BHK
2 Baths"
3 BHK Apartment in Seawoods,"1,077-1,240 sq.ft.
(100-115 sq.m.) Carpet Area","₹ 3.18 - 3.6 Cr
₹ 29,490/sq.ft.",3 BHK
1 BHK Apartment in Airoli,"465-535 sq.ft.
(43-50 sq.m.) Carpet Area","₹ 83 - 92.02 L
₹ 17,513/sq.ft.","1 BHK
1 Bath"
2 BHK Apartment in Panvel,"482-538 sq.ft.
(45-50 sq.m.) Carpet Area","₹ 58 - 69 L
₹ 12,429/sq.ft.",2 BHK
1 BHK Apartment in Panvel,"387 sq.ft.
(36 sq.m.) Carpet Area","₹ 45 L
₹ 11,627/sq.ft.",1 BHK
2 BHK Apartment in Shilphata,"740 sq.ft.
(69 sq.m.) Carpet Area",₹ 78 L,"2 BHK
2 Baths"
1 BHK Apartment in Shilphata,"380 sq.ft.
(35 sq.m.) Carpet Area",₹ 40 L,1 BHK
1 BHK Apartment in Ulwe,"700 sq.ft.
(65 sq.m.) Super built-up Area","₹ 57 L
₹ 8,142/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector-6A Kamothe,"660 sq.ft.
(61 sq.m.) Built-up Area","₹ 57 L
₹ 8,636/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 36 Kamothe,"651 sq.ft.
(60 sq.m.) Built-up Area","₹ 58 L
₹ 8,909/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector 36 Kamothe,"635 sq.ft.
(59 sq.m.) Built-up Area","₹ 60 L
₹ 9,448/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Sector-6A Kamothe,"669 sq.ft.
(62 sq.m.) Built-up Area","₹ 57 L
₹ 8,520/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Airoli,"370-488 sq.ft.
(34-45 sq.m.) Carpet Area","₹ 70 - 92.32 L
₹ 18,910/sq.ft.","1 BHK
2 Baths"
1 BHK Apartment in Sector 20 Airoli,"640 sq.ft.
(59 sq.m.) Super built-up Area","₹ 65 L
₹ 10,156/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Sector-46 Seawoods,"1,771 sq.ft.
(165 sq.m.) Built-up Area","₹ 3 Cr
₹ 16,939/sq.ft.","3 BHK
3 Baths"
2 BHK Apartment in Sector-8 Sanpada,"1,151 sq.ft.
(107 sq.m.) Super built-up Area","₹ 1.15 Cr
₹ 9,991/sq.ft.","2 BHK
2 Baths"
1 BHK Apartment in Ulwe,"345 sq.ft.
(32 sq.m.) Carpet Area",₹ 34.51 L,1 BHK
1 BHK Apartment in Sector 19 Ulwe,"650 sq.ft.
(60 sq.m.) Super built-up Area","₹ 42.25 L
₹ 6,500/sq.ft.","1 BHK
1 Bath"
1 BHK Apartment in Kalamboli,"650-720 sq.ft.
(60-67 sq.m.) Super built-up Area","₹ 42.25 - 46.8 L
₹ 6,500/sq.ft.","1 BHK
1 Bath"
3 BHK Apartment in Vashi,"710-990 sq.ft.
(66-92 sq.m.) Carpet Area",₹ 3.49 - 4.24 Cr,"3 BHK
3 Baths"
2 BHK Apartment in Vashi,"556-750 sq.ft.
(52-70 sq.m.) Carpet Area",₹ 2.38 - 2.48 Cr,"2 BHK
2 Baths"
2 BHK Apartment in Jui Nagar,"577-624 sq.ft.
(54-58 sq.m.) Carpet Area",₹ 1.15 - 1.25 Cr,"2 BHK
2 Baths"
1 BHK Apartment in Jui Nagar,"425-469 sq.ft.
(39-44 sq.m.) Carpet Area",₹ 85 - 93.8 L,"1 BHK
1 Bath"
3 BHK Apartment in Nerul,"850 sq.ft.
(79 sq.m.) Carpet Area","₹ 2.87 Cr
₹ 33,751/sq.ft.","3 BHK
4 Baths"
2 BHK Apartment in Nerul,"533-634 sq.ft.
(50-59 sq.m.) Carpet Area","₹ 1.8 - 2.14 Cr
₹ 33,771/sq.ft.",2 BHK
2 BHK Apartment in Kharghar,"523 sq.ft.
(49 sq.m.) Carpet Area",₹ 59 L,"2 BHK
2 Baths"
1 BHK Apartment in Kharghar,"340 sq.ft.
(32 sq.m.) Carpet Area",₹ 41.55 L,"1 BHK
1 Bath"
